,Q1,Q2,Q3,Q4
feedfeed,0.0,0.0,19.408121055678468,0.0
ff,0.0,0.0,21.487562597358306,0.0
fff,-19.859776066964663,-10.710890463082066,-17.40519700250836,-20.082919618278872
ffff,0.0,0.0,15.249237972318797,0.0
filmcamera,0.0,0.0,13.16979643063896,0.0
filmphotography,0.0,0.0,24.95329850015803,0.0
fitgirl,9.010913347279288,0.0,0.0,0.0
fitness,6.0413235214873975,3.164502796969589,0.0,0.0
fitnessmodel,9.704060527839234,0.0,0.0,0.0
follow,-13.165469527538374,-10.934034014396275,-16.289479245937308,-20.529206720907293
follow4followback,0.0,0.0,0.0,0.0
follow4like,0.0,0.0,12.476649250079015,0.0
followforfollowback,-3.3471532697131456,-5.578588782855243,-21.198637374849923,-7.58688074468313
followforollowback,0.0,8.317766166719343,0.0,0.0
following,0.0,0.0,0.0,0.0
followme,-8.03316784731155,-8.256311398625758,-7.81002429599734,-4.462871026284194
follwme,12.476649250079015,0.0,0.0,0.0
food,0.0,0.0,0.0,0.0
foodgasm,0.0,0.0,24.95329850015803,0.0
foodie,0.0,0.0,27.725887222397812,0.0
foodies,0.0,13.16979643063896,0.0,0.0
foodlover,0.0,22.873856958478193,0.0,0.0
foodpics,0.0,0.0,24.95329850015803,0.0
foodporn,0.0,4.315231086776713,12.370329115426577,0.0
foodstagram,0.0,0.0,11.219600825619453,3.4521848694213704
foodstyling,0.0,0.0,27.725887222397812,0.0
gato,9.010913347279288,0.0,0.0,0.0
gatto,3.164502796969589,0.0,7.479733883746302,0.0
get,0.0,7.6246189861593985,0.0,0.0
greentea,0.0,0.0,27.032740041837865,0.0
highlandfold,0.0,0.0,18.021826694558577,0.0
hillberg,0.0,7.6246189861593985,0.0,0.0
hillebergthetentmaker,0.0,8.317766166719343,0.0,0.0
home,8.317766166719343,0.0,0.0,0.0
homebaking,8.630462173553425,9.205826318456987,0.0,0.0
homebarista,19.408121055678468,0.0,0.0,0.0
homecafe,18.699334709365754,12.370329115426577,0.0,0.0
homecook,0.0,0.0,28.419034402957756,0.0
homecooking,0.0,10.644236680715892,8.055098028649864,0.0
homemade,0.0,0.0,19.408121055678468,0.0
ig,14.556090791758852,0.0,0.0,0.0
igers,24.260151319598084,0.0,0.0,0.0
illustration,15.249237972318797,0.0,0.0,0.0
ilovecats,0.0,0.0,18.021826694558577,0.0
instacat,0.0,0.0,27.725887222397812,0.0
instadaily,-4.016583923655775,-3.5702968210273553,-17.851484105136777,-5.132301680226823
instadog,0.0,15.249237972318797,0.0,0.0
instafashion,0.0,0.0,16.635532333438686,0.0
instafood,0.0,0.0,0.0,0.0
instagood,-10.487746911767857,-4.686014577598404,-8.256311398625758,-14.058043732795213
instagram,0.0,0.0,0.0,0.0
instalike,0.0,4.890595231680274,6.0413235214873975,0.0
instalove,19.408121055678468,0.0,0.0,0.0
instamood,0.0,0.0,29.112181583517703,0.0
instasize,0.0,0.0,0.0,26.33959286127792
interior,13.862943611198906,0.0,0.0,0.0
ipad,7.6246189861593985,0.0,0.0,0.0
iphoneX,0.0,19.408121055678468,0.0,0.0
jeju,0.0,0.0,0.0,13.862943611198906
jejuisland,0.0,0.0,0.0,9.010913347279288
jejulife,0.0,0.0,0.0,10.39720770839918
jejutravel,0.0,0.0,0.0,9.704060527839234
joowon밥상,0.0,0.0,0.0,15.942385152878742
katze,6.0413235214873975,0.0,11.507282898071233,0.0
kbeauty,13.862943611198906,0.0,0.0,0.0
kfashion,4.315231086776713,0.0,0.0,7.479733883746302
kfood,0.0,21.487562597358306,0.0,0.0
kids,0.0,0.0,0.0,23.56700413903814
kitten,0.0,0.0,27.725887222397812,0.0
kitty,10.06887253581233,0.0,11.507282898071233,0.0
korea,14.671785695040823,0.0,10.35655460826411,0.0
korean,0.0,0.0,0.0,0.0
koreanboy,0.0,0.0,6.329005593939178,7.767415956198083
koreanfood,0.0,7.767415956198083,5.178277304132055,0.0
koreanstyle,13.862943611198906,0.0,0.0,0.0
koreanulzzang,0.0,0.0,0.0,12.476649250079015
koreatravel,8.317766166719343,0.0,0.0,0.0
kpop,0.0,0.0,0.0,29.112181583517703
kstyle,0.0,0.0,0.0,17.328679513998633
kulinerbogor,0.0,0.0,9.704060527839234,0.0
l4l,-9.595172706511018,-2.454579064456307,-6.694306539426291,-11.157177565710485
lab,0.0,9.704060527839234,0.0,0.0
le,0.0,0.0,8.317766166719343,0.0
lebelleart,0.0,0.0,11.090354888959125,0.0
lebelleartbymarcedes,0.0,0.0,7.6246189861593985,0.0
lfl,0.0,0.0,0.0,0.0
lifestyle,0.0,0.0,20.79441541679836,0.0
like,0.0,0.0,0.0,8.317766166719343
like4like,0.0,0.0,0.0,0.0
like4likes,-3.793440372341565,-3.5702968210273553,-21.64492447747834,-5.355445231541033
likeback,0.0,0.0,31.884770305757485,0.0
likeforfollow,-11.603464668338905,-12.049751770967324,-9.818316257825227,-4.909158128912614
likeforlike,0.0,0.0,0.0,12.476649250079015
likeforlikeback,15.249237972318797,0.0,0.0,0.0
likeforlikes,-11.157177565710485,-23.20692933667781,-9.595172706511018,-12.496038873595744
liker,0.0,0.0,15.249237972318797,0.0
likesforlike,4.6029131592284935,3.164502796969589,0.0,0.0
liketime,11.78350206951907,0.0,0.0,0.0
live,0.0,10.39720770839918,0.0,0.0
livebeautifully,0.0,13.862943611198906,0.0,0.0
love,3.739866941873151,0.0,0.0,20.71310921652822
lovedog,0.0,9.704060527839234,0.0,0.0
lovedogs,0.0,10.39720770839918,0.0,0.0
lunchideas,0.0,0.0,11.090354888959125,0.0
luxury,0.0,9.010913347279288,0.0,0.0
luxuryhotel,0.0,11.78350206951907,0.0,0.0
luxurylifestyle,0.0,13.862943611198906,0.0,0.0
m,0.0,0.0,7.6246189861593985,0.0
maigmati,27.032740041837865,0.0,0.0,0.0
maltese,0.0,0.0,0.0,11.78350206951907
matcha,0.0,0.0,23.56700413903814,0.0
me,0.0,0.0,0.0,23.56700413903814
melkin,0.0,0.0,0.0,13.862943611198906
mensfashion,0.0,0.0,9.010913347279288,0.0
mentengsalon,0.0,0.0,9.010913347279288,0.0
meow,9.493508390908769,0.0,18.987016781817537,0.0
minimal,6.616687666390959,3.739866941873151,0.0,0.0
model,27.725887222397812,0.0,0.0,0.0
moodygrams,0.0,13.16979643063896,0.0,0.0
muk,0.0,31.191623125197538,0.0,0.0
mukbang,0.0,0.0,26.33959286127792,0.0
n,-39.71955213392933,-151.5144713423484,-65.60420408637765,-21.198637374849923
nailart,0.0,0.0,8.317766166719343,0.0
nailartcikini,0.0,0.0,10.39720770839918,0.0
nailartjakartapusat,0.0,0.0,13.862943611198906,0.0
nct,0.0,0.0,0.0,17.328679513998633
neko,9.205826318456987,0.0,7.1920518112945215,0.0
nekostagram,0.0,0.0,18.021826694558577,0.0
nineware,0.0,17.328679513998633,0.0,0.0
northworks,0.0,7.6246189861593985,0.0,0.0
of,0.0,0.0,18.021826694558577,0.0
onthetable,64.46268779207492,0.0,0.0,0.0
ootd,-21.421780926164132,-30.57066653004673,-29.45494877347568,-33.24838914581725
ootdfashion,15.249237972318797,0.0,0.0,0.0
outfit,0.0,0.0,0.0,0.0
painting,18.021826694558577,0.0,0.0,0.0
peace,0.0,0.0,0.0,23.56700413903814
perrito,0.0,11.78350206951907,0.0,0.0
persiancat,0.0,0.0,18.021826694558577,0.0
pet,0.0,0.0,11.507282898071233,8.342780101101644
peterior,14.556090791758852,0.0,0.0,0.0
petstagram,0.0,6.329005593939178,0.0,8.630462173553425
petstargram,0.0,0.0,7.479733883746302,4.315231086776713
photo,0.0,13.862943611198906,0.0,0.0
photographer,0.0,0.0,24.260151319598084,0.0
photography,0.0,0.0,13.862943611198906,0.0
pic,0.0,8.317766166719343,0.0,0.0
pilates,0.0,0.0,22.873856958478193,0.0
portrait,26.33959286127792,0.0,0.0,0.0
portraits,8.317766166719343,0.0,0.0,0.0
prunus,0.0,11.090354888959125,0.0,0.0
puppy,0.0,5.465959376583836,0.0,6.0413235214873975
ragdoll,0.0,0.0,36.04365338911715,0.0
ready,0.0,7.6246189861593985,0.0,0.0
recipe,0.0,0.0,19.408121055678468,0.0
recipevideo,0.0,0.0,8.317766166719343,0.0
reels,18.021826694558577,0.0,0.0,0.0
repost,0.0,18.714973875118524,0.0,0.0
rim안암,0.0,9.704060527839234,0.0,0.0
