,id,post_num,follower_num,category,audi_stat,follower_reach,reach,reach%,ER,posting_term,,,,,,,,,,,,
280,the_local_eater,"1,464","9,903","푸드 ,일상","40대, 여성(85%)","3,412 (83%)","4,095",41.35%,1.34%,8.3,,,,,,,,,,,,
281,llllllljin0703,"1,473","8,264","동물 ,일상, 패션","30대, 여성(80%)","2,461 (83%)","2,953",35.73%,2.17%,0.5,,,,,,,,,,,,
282,_jademina,"1,565","8,157",,"10대, 여성(78%)","2,696 (83%)","3,235",39.66%,0.63%,0.5,,,,,,,,,,,,
283,sungmin3103,"1,601","8,254",,"30대, 여성(64%)","3,955 (63%)","6,265",75.90%,3.49%,0.4,,,,,,,,,,,,
284,dodohara_doha,"1,622","9,282","키즈 ,일상, 푸드","30대, 여성(74%)","2,672 (83%)","3,207",34.55%,2.03%,0.4,,,,,,,,,,,,
285,jys___,"1,782","8,525","푸드 ,기타","20대, 여성(72%)","3,015 (26%)","11,739",137.70%,1.89%,2.3,,,,,,,,,,,,
286,kei.koo_,"1,979","9,264",,"30대, 여성(79%)","2,373 (83%)","2,847",30.73%,1.90%,0.6,,,,,,,,,,,,
287,xligoonx,"2,041","8,325","푸드 ,여행","30대, 여성(66%)",139 (6%),"2,175",26.13%,0.49%,0.5,,,,,,,,,,,,
288,xligoonx,"2,070","8,519","푸드 ,여행","30대, 여성(66%)",139 (6%),"2,175",25.53%,0.49%,0.5,,,,,,,,,,,,
289,dear_puppy_,"2,313","8,446",동물,"30대, 여성(81%)","2,364 (83%)","2,836",33.58%,1.14%,0.6,,,,,,,,,,,,
290,lovechsn,"2,422","9,653",홈리빙 푸드,"30대, 여성(78%)","3,257 (83%)","3,908",40.48%,1.03%,1.8,,,,,,,,,,,,
291,chemi_onedoo,"2,580","9,158","동물 ,일상","30대, 여성(59%)","3,472 (83%)","4,167",45.50%,1.20%,0.5,,,,,,,,,,,,
292,jiae_eye,"3,436","9,117","일상 ,키즈, 홈리빙","20대, 여성(92%)",358 (12%),"2,995",32.85%,0.18%,0.9,,,,,,,,,,,,
293,le.belle.art,"4,189","8,854",뷰티,"20대, 여성(88%)","4,024 (83%)","4,829",54.54%,0.01%,45.5,,,,,,,,,,,,
294,ra____mi,"4,501","9,195",패션,"20대, 여성(88%)",374 (15%),"2,439",26.53%,0.81%,0.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
