,id,post_num,follower_num,category,audi_stat,follower_reach,reach,reach%,ER,posting_term,,,,,,,,,,,,
83,yumiiii22_,144,"4,175",일상 패션,"20대, 여성(79%)",926 (83%),"1,111",26.61%,6.31%,0.7,,,,,,,,,,,,
84,se.hyuun,144,"5,125",,"30대, 여성(79%)","1,554 (55%)","2,847",55.55%,5.39%,1.6,,,,,,,,,,,,
85,kim_yu00,146,"7,005",,"30대, 남성(53%)","3,303 (90%)","3,651",52.12%,12.47%,0.3,,,,,,,,,,,,
86,put_in_light,147,"4,942","예술 ,일상","40대, 여성(63%)","1,914 (53%)","3,616",73.17%,14.00%,1.3,,,,,,,,,,,,
87,hcm1970s,147,"3,140","여행 ,푸드","30대, 여성(94%)","1,642 (43%)","3,778",120.32%,16.11%,0.9,,,,,,,,,,,,
88,jjn__sik,147,"8,525","패션 ,뷰티","10대, 여성(77%)","2,652 (83%)","3,182",37.33%,2.91%,0.6,,,,,,,,,,,,
89,_yellowdeer_official,148,"4,932",,"20대, 여성(86%)","2,792 (83%)","3,350",67.92%,1.10%,2.8,,,,,,,,,,,,
90,ki_wogh1,148,"6,694",푸드,"30대, 여성(64%)","3,027 (83%)","3,632",54.26%,4.89%,0.6,,,,,,,,,,,,
91,danhobak.k,148,"8,683",푸드,"20대, 여성(78%)","3,360 (83%)","4,032",46.44%,2.36%,2.6,,,,,,,,,,,,
92,y__silri,149,"8,789","뷰티 ,푸드","30대, 여성(61%)","2,637 (83%)","3,165",36.01%,2.36%,2.2,,,,,,,,,,,,
93,s.he2__,151,"3,221","일상 ,뷰티, 키즈","30대, 여성(76%)","1,435 (83%)","1,722",53.46%,7.86%,0.4,,,,,,,,,,,,
94,hay_yoon.k,152,"5,716","일상 ,패션, 뷰티","30대, 여성(63%)","1,272 (10%)","12,816",224.21%,10.17%,0.6,,,,,,,,,,,,
95,gimdaedol,153,"3,332",일상 패션,"30대, 여성(89%)","1,861 (91%)","2,037",61.13%,8.20%,0.5,,,,,,,,,,,,
96,greatgny,154,"7,974",,"30대, 여성(62%)","4,784 (83%)","5,740",71.98%,7.62%,8.3,,,,,,,,,,,,
97,ssenseboy,155,"3,921",패션,"30대, 여성(70%)","1,809 (31%)","5,843",149.02%,8.14%,0.4,,,,,,,,,,,,
98,jung.chelin,155,"9,261","푸드 ,기타","30대, 여성(73%)","4,206 (76%)","5,516",59.56%,3.36%,1.3,,,,,,,,,,,,
99,talk_sj,156,"7,765","일상 ,동물, 푸드","30대, 여성(56%)","1,500 (83%)","1,800",23.18%,2.91%,0.5,,,,,,,,,,,,
100,seoulbotanicpark,158,"9,384",,"30대, 여성(67%)","7,315 (99%)","7,395",78.80%,1.10%,3,,,,,,,,,,,,
101,zeroseo_o,160,"3,865","일상 ,패션, 푸드","30대, 여성(74%)","1,060 (44%)","2,412",62.41%,1.65%,8.3,,,,,,,,,,,,
102,hkgraphy_,162,"3,257",,"30대, 여성(77%)","1,301 (83%)","1,561",47.93%,12.32%,15.2,,,,,,,,,,,,
103,yuaring,163,"9,635","뷰티 ,일상","30대, 여성(74%)","3,030 (83%)","3,636",37.74%,0.72%,0.9,,,,,,,,,,,,
104,j__w.on,164,"5,585","일상 ,패션, 푸드","30대, 여성(90%)","1,664 (83%)","1,996",35.74%,12.89%,1,,,,,,,,,,,,
105,625_jh,165,"4,008","일상 ,여행, 뷰티","30대, 여성(66%)","1,256 (42%)","2,996",74.75%,6.20%,0.9,,,,,,,,,,,,
106,lavue__ge,165,"3,975","일상 ,여행, 푸드","30대, 여성(70%)","1,241 (83%)","1,489",37.46%,4.56%,0.4,,,,,,,,,,,,
107,nmong__,166,"8,457","일상 ,푸드, 동물","30대, 여성(79%)","5,062 (76%)","6,665",78.81%,7.45%,0.7,,,,,,,,,,,,
108,gold_ju__,171,"9,187","스포츠 ,일상, 패션","30대, 여성(84%)","3,794 (83%)","4,553",49.56%,0.62%,0.5,,,,,,,,,,,,
109,lune_de_j,171,"8,065",패션,"30대, 여성(85%)","5,529 (22%)","25,085",311.04%,1.71%,0.3,,,,,,,,,,,,
110,4yyyyoon,175,"7,524","일상 ,뷰티, 패션","20대, 여성(63%)","2,513 (83%)","3,015",40.07%,4.97%,0.6,,,,,,,,,,,,
111,yena._.yenn,176,"8,640","여행 ,일상, 예술","30대, 여성(73%)","3,658 (87%)","4,221",48.85%,2.22%,1.8,,,,,,,,,,,,
112,da__heart,177,"7,792","패션 ,일상, 뷰티","20대, 여성(80%)","2,640 (35%)","7,643",98.09%,0.99%,4.8,,,,,,,,,,,,
113,near.and,181,"5,431","일상 ,뷰티, 여행","30대, 여성(59%)","1,494 (19%)","7,703",141.83%,2.50%,1.7,,,,,,,,,,,,
114,muk_zzanggu_ploonet,182,"3,776",푸드,"30대, 여성(73%)","1,415 (83%)","1,698",44.97%,26.07%,0.2,,,,,,,,,,,,
115,ilcheonkwon,184,"4,553","일상 ,여행, 푸드","30대, 여성(71%)","2,311 (52%)","4,480",98.40%,3.48%,0.4,,,,,,,,,,,,
116,euj._.2,188,"5,286",스포츠,"30대, 남성(68%)","1,539 (14%)","10,704",202.50%,5.22%,0.8,,,,,,,,,,,,
117,noaharu49,189,"7,832","패션 ,기타","20대, 여성(55%)","2,904 (49%)","5,874",75.00%,5.36%,1.5,,,,,,,,,,,,
118,flavoored,190,"3,111","일상 ,패션, 여행","30대, 여성(75%)","1,512 (32%)","4,676",150.31%,22.46%,1,,,,,,,,,,,,
119,j859723,191,"4,903","키즈 ,푸드","10대, 여성(75%)","1,114 (83%)","1,337",27.27%,2.10%,4.8,,,,,,,,,,,,
120,jyou_yoo,192,"3,641","일상 ,패션","30대, 남성(61%)","1,542 (3%)","47,118",1294.10%,5.10%,0.4,,,,,,,,,,,,
121,modest_barista,192,"7,374","푸드 ,일상, 홈리빙","30대, 여성(86%)","2,716 (83%)","3,259",44.20%,2.97%,1,,,,,,,,,,,,
122,euntokkl,196,"6,587","일상 ,패션","30대, 여성(57%)","2,020 (59%)","3,420",51.92%,3.45%,0.5,,,,,,,,,,,,
123,lovelysunny888,196,"7,449","일상 ,여행, 키즈","30대, 여성(65%)","1,680 (83%)","2,016",27.06%,2.51%,0.7,,,,,,,,,,,,
124,nineware.official,196,"7,642","홈리빙 ,푸드","30대, 여성(87%)","4,288 (71%)","5,998",78.49%,1.96%,0.3,,,,,,,,,,,,
125,xxjh95_choi,206,"3,378","일상 ,패션","30대, 여성(55%)","1,395 (78%)","1,784",52.81%,8.05%,0.6,,,,,,,,,,,,
126,sseon_33,210,"2,928","일상 ,패션","10대, 여성(68%)",613 (83%),736,25.14%,4.52%,0.3,,,,,,,,,,,,
127,stellaandchewyskorea,215,"6,719",,"30대, 여성(72%)","4,031 (83%)","4,837",71.99%,2.38%,2.5,,,,,,,,,,,,
128,kimyongcheol_0,216,"6,832","푸드 ,일상","30대, 여성(70%)","1,362 (83%)","1,635",23.93%,9.29%,0.7,,,,,,,,,,,,
129,99_ch_y,223,"3,538","일상 ,여행","20대, 여성(81%)","1,500 (57%)","2,633",74.42%,4.77%,0.5,,,,,,,,,,,,
130,ravi___v,224,"4,692","뷰티 ,일상","30대, 여성(75%)",,"2,418",51.53%,2.25%,2.3,,,,,,,,,,,,
131,bestar_jh,224,"7,010","일상 ,뷰티, 푸드","30대, 여성(61%)","2,003 (83%)","2,404",34.29%,4.57%,0.7,,,,,,,,,,,,
132,matshullang,229,"9,310","푸드 ,기타","30대, 여성(75%)","3,613 (64%)","5,621",60.38%,3.98%,0.3,,,,,,,,,,,,
133,by.sunset,235,"6,905","홈리빙 ,일상","30대, 여성(86%)","3,959 (83%)","4,751",68.81%,3.28%,0.8,,,,,,,,,,,,
134,yeerin.s,237,"5,246","패션 ,푸드","30대, 여성(52%)","3,038 (83%)","3,646",69.50%,7.43%,0.7,,,,,,,,,,,,
135,allblvck_viva,238,"8,777",,"30대, 남성(61%)","3,174 (38%)","8,296",94.52%,8.13%,1.4,,,,,,,,,,,,
136,bobolagtino,239,"8,529","일상 ,여행, 키즈","30대, 여성(81%)","3,866 (83%)","4,639",54.39%,5.63%,1.3,,,,,,,,,,,,
137,u_cong_ss,240,"4,215",,"30대, 여성(87%)","1,912 (31%)","6,157",146.07%,4.47%,0.4,,,,,,,,,,,,
138,mi____ya_,242,"8,352","여행 ,일상","30대, 여성(71%)","3,758 (10%)","39,150",468.75%,2.71%,0.9,,,,,,,,,,,,
139,yoontree15,243,"3,489","키즈 ,푸드","40대, 여성(65%)","1,255 (13%)","9,968",285.70%,6.21%,1.2,,,,,,,,,,,,
140,izzi_fit,245,"4,706","키즈 ,패션","30대, 여성(74%)","2,823 (83%)","3,388",71.99%,0.45%,0.3,,,,,,,,,,,,
141,madem_oisell_e,246,"9,559","일상 ,패션, 기타","20대, 여성(73%)","1,162 (20%)","5,863",61.33%,4.02%,0.5,,,,,,,,,,,,
142,studiomotiff,248,"9,351","홈리빙 ,키즈","30대, 여성(83%)","3,037 (83%)","3,645",38.98%,0.88%,1,,,,,,,,,,,,
143,27__simone,252,"3,765","패션 ,뷰티, 여행","30대, 여성(77%)",637 (83%),764,20.29%,6.40%,9.1,,,,,,,,,,,,
144,parksangchu,254,"8,061",일상,"30대, 여성(85%)","1,998 (83%)","2,398",29.75%,3.79%,1.2,,,,,,,,,,,,
145,mangoling_go,256,"6,005","동물 ,뷰티,","30대, 여성(87%)","4,975 (68%)","7,363",122.61%,7.15%,1.8,,,,,,,,,,,,
146,likeat_wons96,256,"9,962",푸드,"30대, 여성(82%)","3,514 (83%)","4,216",42.32%,2.23%,0.4,,,,,,,,,,,,
147,soospace_,258,"9,769",푸드,"30대, 여성(84%)","4,666 (19%)","24,332",249.07%,3.33%,0.7,,,,,,,,,,,,
148,yb._.table,264,"8,316","푸드 ,기타","30대, 여성(85%)","5,397 (33%)","16,274",195.70%,3.84%,0.8,,,,,,,,,,,,
149,subnii,271,"9,392","일상 ,뷰티","30대, 여성(66%)","2,527 (58%)","4,327",46.07%,1.03%,1.4,,,,,,,,,,,,
150,mangoshomekitchen,272,"6,183",푸드,"50대, 여성(71%)","2,489 (83%)","2,987",48.31%,6.65%,1.2,,,,,,,,,,,,
151,hayeonnn___,274,"9,785","일상 ,여행, 뷰티","30대, 남성(54%)","2,936 (74%)","3,973",40.60%,6.58%,0.9,,,,,,,,,,,,
152,han__spoon__,276,"8,740",푸드,"20대, 여성(82%)","5,150 (53%)","9,748",111.53%,5.29%,0.4,,,,,,,,,,,,
153,064_steady,288,"9,466",패션,"20대, 여성(65%)","7,951 (77%)","10,313",108.95%,3.82%,1,,,,,,,,,,,,
154,jay_yj_w,289,"8,784",,"30대, 여성(69%)","5,227 (83%)","6,272",71.40%,6.15%,0.5,,,,,,,,,,,,
155,yonghee___,290,"3,663",푸드,"30대, 여성(73%)","2,266 (77%)","2,945",80.40%,5.44%,0.5,,,,,,,,,,,,
156,sun_hee_5004,295,"3,025",푸드,"40대, 여성(68%)","2,540 (17%)","14,895",492.40%,7.84%,0.6,,,,,,,,,,,,
157,tiffanys3o,299,"3,410","일상 ,패션, 여행","30대, 여성(65%)",643 (15%),"4,154",121.82%,1.03%,0.6,,,,,,,,,,,,
158,miya_home_,307,"7,285","홈리빙 ,일상","30대, 여성(81%)","3,644 (83%)","4,372",60.01%,3.08%,1.2,,,,,,,,,,,,
159,hoo____chu,307,"8,577",동물 일상,"20대, 여성(82%)","3,816 (83%)","4,579",53.39%,5.19%,0.3,,,,,,,,,,,,
160,boldun_,316,"4,368",홈리빙,"30대, 여성(69%)","2,075 (83%)","2,490",57.01%,6.22%,1.5,,,,,,,,,,,,
161,tjdgus8649,319,"7,954","일상 ,여행, 푸드","20대, 여성(75%)","3,309 (83%)","3,970",49.91%,7.49%,1.4,,,,,,,,,,,,
162,heeetae_,323,"6,834","푸드 ,엔터테인먼트","20대, 여성(85%)","4,095 (83%)","4,914",71.91%,3.02%,1.4,,,,,,,,,,,,
163,sinb155,339,"4,310","뷰티 ,일상","50대, 여성(53%)",892 (83%),"1,070",24.83%,5.01%,0.4,,,,,,,,,,,,
164,es___0206,342,"4,584","일상 ,여행, 푸드","40대, 남성(53%)","1,808 (49%)","3,723",81.22%,4.82%,0.3,,,,,,,,,,,,
165,leon___choi,342,"3,509","동물 ,여행","20대, 여성(76%)","2,105 (83%)","2,526",71.99%,16.13%,1.6,,,,,,,,,,,,
166,kkang_photo,346,"3,756",,"30대, 남성(51%)","3,154 (11%)","29,450",784.08%,13.56%,0.5,,,,,,,,,,,,
167,labnosh.official,350,"7,551",푸드,"30대, 여성(75%)","2,427 (83%)","2,913",38.58%,0.63%,1.3,,,,,,,,,,,,
168,jj20181008,354,"7,266","일상 ,여행, 푸드","30대, 남성(59%)","1,329 (83%)","1,594",21.94%,6.13%,3.4,,,,,,,,,,,,
169,fourseasonskorea,354,"9,832",,"30대, 여성(75%)","5,890 (83%)","7,068",71.89%,0.93%,0.7,,,,,,,,,,,,
170,gimyo.dmg,354,"7,016","패션 ,일상, 뷰티","30대, 여성(66%)","1,642 (83%)","1,970",28.08%,2.48%,2.5,,,,,,,,,,,,
171,jeong_ji.y,356,"4,590","일상 ,예술","30대, 여성(60%)","1,342 (83%)","1,610",35.08%,6.13%,0.6,,,,,,,,,,,,
172,1212g12,361,"4,503","일상 ,패션, 여행","30대, 여성(76%)","2,215 (83%)","2,658",59.03%,7.95%,2.3,,,,,,,,,,,,
173,rovely_______,362,"4,093","키즈 ,홈리빙","10대, 여성(76%)","3,331 (89%)","3,749",91.60%,2.93%,1.1,,,,,,,,,,,,
174,seunghyunn2016,372,"4,146","푸드 ,예술","20대, 여성(82%)","1,683 (49%)","3,463",83.53%,4.80%,0.4,,,,,,,,,,,,
175,hana_star_gram,372,"6,372","키즈 ,일상","30대, 여성(79%)","1,699 (83%)","2,038",31.98%,5.62%,0.2,,,,,,,,,,,,
176,c._.miiii,373,"5,553","일상 ,패션, 뷰티","30대, 여성(70%)",832 (13%),"6,219",111.99%,1.94%,3.8,,,,,,,,,,,,
177,______saemyi,374,"9,240","패션 ,일상, 푸드","30대, 여성(76%)","2,430 (83%)","2,916",31.56%,0.84%,0.7,,,,,,,,,,,,
178,baby._.chacha,376,"3,732",키즈,"10대, 여성(74%)",890 (83%),"1,068",28.62%,3.16%,0.5,,,,,,,,,,,,
179,__ybom_,378,"5,363","일상 ,뷰티, 여행","30대, 여성(85%)","3,200 (51%)","6,301",117.49%,4.73%,1.4,,,,,,,,,,,,
180,es___0206,379,"4,805","일상 ,여행, 푸드","40대, 남성(53%)","1,808 (49%)","3,723",77.48%,4.82%,0.3,,,,,,,,,,,,
181,jc.hx2,382,"9,228",일상,"30대, 여성(75%)","1,192 (34%)","3,527",38.22%,0.86%,1.2,,,,,,,,,,,,
182,jeong_ji.y,383,"4,490","일상 ,예술","30대, 여성(60%)","1,342 (83%)","1,610",35.86%,6.13%,0.6,,,,,,,,,,,,
183,jihyun.world,384,"5,297",푸드,"30대, 여성(66%)","2,062 (91%)","2,275",42.95%,4.50%,1.3,,,,,,,,,,,,
